,Provider ID,Service Name,Base Name / Site,State,City,Zip,Location Type,# RW,# FW,NPIAS,Level 1
RW,MI001,AeroMed Spectrum Health,Gerald R. Ford International Airport,MI,Grand Rapids,49512,Airport,1,,Y,
FW,CA020,"AeroMedEvac, Inc.",Gillespie Field,CA,El Cajon,92020,Airport,,2,N,
RW,OH008,Air Bear (Akron Children’s Hospital),Akron Children's Hospital,OH,Akron,44308,Hospital,1,,,
RW,OH006,Air Care & Mobile Care UC Medical Center,"Walton, KY",KY,Walton,41094,Hospital,1,,,
RW,OH006,Air Care & Mobile Care UC Medical Center,University of Cincinnati Medical Center,OH,Cincinnati,45267,Hospital,0,,,Y
RW,OH006,Air Care & Mobile Care UC Medical Center,Butler County Regional Airport,OH,Hamilton,45015,Airport,2*,,Y,
RW,OH006,Air Care & Mobile Care UC Medical Center,Mt. Orab,OH,Mt. Orab,45154,Helipad,1,,,
RW,MS001,Air Care (University of Mississippi),"Columbus, AirCare 3",MS,Columbus,39701,Airport,1,,,
RW,MS001,Air Care (University of Mississippi),Greenwood Leflore Airport - AirCare 4,MS,Greenwood,38930,Airport,1,,Y,
RW,MS001,Air Care (University of Mississippi),University of Mississippi Medical Center Helipad,MS,Jackson,39216,Hospital,1,,,Y
RW,MS001,Air Care (University of Mississippi),Key Field Airport,MS,Meridian,39304,Airport,1,,Y,
RW,FL002,Air Care Team (Orlando),"Air Care 1, Kissimmee Gateway Airport",FL,Kissimmee,34741,Airport,1,,Y,
RW,FL002,Air Care Team (Orlando),"Air Care 2, Leesburg International Airport",FL,Leesburg,34788,Airport,1,,Y,
RW,FL002,Air Care Team (Orlando),"Air Care 3, South Seminole Hospital",FL,Longwood,32750,Hospital,1,,,
FW,FL033,"Air Critical Care, LLC",Punta GordaAirport,FL,Punta Gorda,33955,Airport,,1,N,
FW,FL033,"Air Critical Care, LLC",St. Pete-Clearwater International Airport,FL,St. Petersburg,33762,Airport,,1,Y,
FW,FL033,"Air Critical Care, LLC",Kirsch Municipal Airport,MI,Sturgis,49091,Airport,,1,Y,
FW,OK006,"Air EMS, Inc.",Tulsa International Airport,OK,Tulsa,74115,Airport,,1,Y,
RW,MO001,Air Evac Lifeteam,Demopolis  (AE 106),AL,Demopolis,36732,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Fayette Base (AE 45) (Richard Arthur Field),AL,Fayette,35555,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Scottsboro Base (AE 32) (Highlands Medical Center),AL,Scottsboro,35768,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,The Shoals (AE16),AL,Tuscumbia,35674,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Cullman Base (AE 15) (Cullman Airport),AL,Vinemont,35179,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Blytheville (AE 113),AR,Blytheville,72315,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,DeQueen (AE73),AR,DeQueen,71832,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Forrest City (AE42),AR,Forrest City,72335,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Fort Smith (AE149),AR,Fort Smith,72903,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Boone County (AE40),AR,Harrison,72601,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Morrilton (AE 30),AR,Morrilton,72110,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Mountain Home (AE12),AR,Mountain Home,72653,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Paragould (AE 02),AR,Paragould,72450,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Paris (AE22),AR,Paris,72855,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Springdale (AE04),AR,Springdale,72764,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Americus (AE 86),GA,Americus,31719,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,"Carrollton, GA (AE 112)",GA,Carrollton,30117,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Douglas Municipal (AE 90),GA,Douglas,31535,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Dublin (AE 102),GA,Dublin,31021,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Jesup (AE 96),GA,Jesup,31545,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Troup County (AE 77),GA,LaGrange,30240,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Milledgeville (AE 140),GA,Milledgeville,31061,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Perry (AE 154),GA,Perry,31069,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Snellville (AE 117),GA,Snellville,30078,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Statesboro (AE 95),GA,Statesboro,30458,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Tift County (AE 142),GA,Tifton,31794,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Vidalia (AE 91),GA,Vidalia,30474,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Fort Madison (AE 59),IA,Fort Madison,52627,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,"Greenville, IL (AE 137)",IL,Greenville,62246,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Harrisburg (AE 138),IL,Harrisburg,62946,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Jacksonville (AE 27),IL,Jacksonville,62650,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Macomb (AE 144),IL,Macomb,61455,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Marion (AE 35),IL,Marion,62959,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Madison County (AE 156),IL,Maryville,62062,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Mattoon (AE 145),IL,Mattoon,61938,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Mt. Vernon (AE 11),IL,Mt. Vernon,62864,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Olney (AE 150),IL,Olney,62450,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Quincy (AE 05),IL,Quincy,62301,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Effingham County (AE 28),IL,Watson,62473,Airport,1,,N,
RW,MO001,Air Evac Lifeteam,Brazil (AE 39),IN,Brazil,47834,Airport,1,,N,
RW,MO001,Air Evac Lifeteam,Evansville (AE 46),IN,Evansville,47710,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Paoli (AE 17),IN,Paoli,47454,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Albany (AE 14),KY,Albany,42602,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Bowling Green (AE 62),KY,Bowling Green,42101,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Campbellsville (AE 43),KY,Campbellsville,42718,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Corbin (AE 79),KY,Corbin,40707,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Danville (AE 56),KY,Danville,40422,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Breckenridge County (AE 92),KY,Hardinsburg,40143,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Harlan (AE 88),KY,Harlan,40831,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Hopkinsville (AE 10),KY,Hopkinsville,42240,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Manchester (AE  109),KY,Manchester,40962,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Crittenden County (AE 120),KY,Marion,42064,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Mayfield (AE 108),KY,Mayfield,42066,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Middlesboro (AE 33),KY,Middlesboro,40965,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Paducah (AE 157),KY,Paducah,42001,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Prestonsburg (AE 116),KY,Prestonsburg,41653,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Morgan County (AE 118),KY,West Liberty,41472,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Grant County (AE 133),KY,Williamstown,41097,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Kinder (AE 125),LA,Kinder,70648,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Opelousas (AE 124),LA,Opelousas,70570,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Rayville (AE 100),LA,Rayville,71269,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Winnfield (AE 160),LA,Winnfield,71483,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Farmington (AE08),MO,Farmington,63640,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Kirksville (AE38),MO,Kirksville,63501,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Pike County (AE 146),MO,Louisiana,63353,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Moberly (AE 119),MO,Moberly,65270,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Perryville (AE80),MO,Perryville,63775,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Poplar Bluff (AE24),MO,Poplar Bluff,63901,Airport,1,,N,
RW,MO001,Air Evac Lifeteam,Salem (AE18),MO,Salem,65560,Airport,1,,,
RW,MO001,Air Evac Lifeteam,Sedalia (AE60),MO,Sedalia,65301,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Sikeston (AE03),MO,Sikeston,63801,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Sullivan (AE 13),MO,Sullivan,63080,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Troy (AE23) Lincoln County Hospital,MO,Troy,63379,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,West Plains (AE01),MO,West Plains,65775,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Batesville (AE61),MS,Batesville,38606,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Corinth (AE58),MS,Corinth,38834,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Washington County  (AE87),MS,Greenville,38703,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Natchez (AE 99),MS,Natchez,39120,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Brown County (AE89),OH,Georgetown,45121,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Lancaster (AE 101),OH,Lancaster,43130,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Portsmouth (AE 97),OH,Portsmouth,45662,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Licking County (AE107),OH,St. Louisville,43071,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Ada (AE26),OK,Ada,74820,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Altus (AE 6),OK,Altus,73521,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Ardmore (AE 130),OK,Ardmore,73401,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Claremore (AE29),OK,Claremore,74019,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Cushing (AE36),OK,Cushing,74023,Airport,1,,N,
RW,MO001,Air Evac Lifeteam,Duncan (AE 25),OK,Duncan,73533,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Elk City (AE21),OK,Elk City,73644,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Henryetta (AE 135),OK,Henryetta,74437,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Idabel (AE 129),OK,Idabel,74745,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Kingfisher (AE 131),OK,Kingfisher,73750,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Muskogee (AE83),OK,Muskogee,74401,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Ponca City (AE128),OK,Ponca City,74601,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Weatherford (AE122),OK,Weatherford,73096,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Woodward (AE70),OK,Woodward,73801,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Clarksville (AE 151),TN,Clarksville,37040,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Dyersburg (AE75),TN,Dyersburg,38024,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Jackson (AE07),TN,Jackson,38301,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Lafayette (AE19),TN,Lafayette,37083,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Lawrenceburg (AE 110),TN,Lawrenceburg,38464,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Lewisburg (AE09),TN,Lewisburg,37091,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Coffee County (AE44),TN,Manchester,37355,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Martin (AE31),TN,Martin,38237,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Henry County (AE 123),TN,Paris,38242,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Decatur County  (AE 141),TN,Parsons,38363,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Savannah (AE94),TN,Savannah,38372,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Obion  County (AE 143),TN,Troy,38260,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Waverly (AE37),TN,Waverly,37185,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Waynesboro (AE72),TN,Waynesboro,38485,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Abilene (AE 63),TX,Abilene,79601,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Beaumont/SE(AE 126),TX,Beaumont,77702,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Big Spring (AE 54),TX,Big Spring,79720,Airport,1,,N,
RW,MO001,Air Evac Lifeteam,Brownwood (AE 52),TX,Brownwood,76801,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Carrizo Springs (AE 71),TX,Carrizo Springs,78834,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Houston County (AE 127),TX,Crockett,75835,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,"Decatur, TX (AE 68)",TX,Decatur,76234,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Del Rio (AE 134),TX,Del Rio,78840,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Texoma (AE 65),TX,Denison,75020,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Eagle Pass (AE 57),TX,Eagle Pass,78852,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Eastland (AE 115),TX,Eastland,76448,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Fairfield (AE 53),TX,Fairfield,75840,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Granbury (AE 69),TX,Granbury,76048,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,"Greenville, TX (AE 67)",TX,Greenville,75402,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Hillsboro (AE 51),TX,Hillsboro,76645,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Jasper/SE (AE 152),TX,Jasper,75951,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Jourdanton (AE 136),TX,Jourdanton,78026,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Kerrville (AE 48),TX,Kerrville,78028,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Killeen (AE 66),TX,Killeen,76549,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,La Grange (AE 47),TX,La Grange,78945,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Laredo (AE 93),TX,Laredo,78041,Airport,1,,N,
RW,MO001,Air Evac Lifeteam,Marble Falls (AE 49),TX,Marble Falls,78654,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Mineral Wells (AE 55),TX,Mineral Wells,76067,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Lamar County (AE 139),TX,Paris,75460,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Persall (AE 147),TX,Pearsall,78061,Airport,1,,N,
RW,MO001,Air Evac Lifeteam,San Antonio (AE 148) (REACH),TX,San Antonio,78229,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Ellis County (AE 74),TX,Waxahachie,75165,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Wichita Falls (AE 34),TX,Wichita Falls,76301,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Beckley (AE 121),WV,Hope,25880,Helipad,1,,,
RW,MO001,Air Evac Lifeteam,Logan (AE85),WV,Logan,25601,Airport,1,,Y,
RW,MO001,Air Evac Lifeteam,Wetzel County (AE78),WV,New Martinsville,26155,Hospital,1,,,
RW,MO001,Air Evac Lifeteam,Summersville (AE 103),WV,Summersville,26651,Helipad,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 05: Buckeye Helipad,AZ,Buckeye,85326,Helipad,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 09: Casa Grande Municipal Airport,AZ,Casa Grande,85222,Airport,1,,Y,
RW,AZ001,Air Evac Services (Phoenix),AE 06: Casa Grande Regional Medical Center,AZ,Casa Grande,85222,Hospital,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 04: Mt. Vista Medical Center,AZ,Mesa,85209,Hospital,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 07: Pinto Valley Mine,AZ,Miami,85539,Helipad,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 33: Banner Payson Medical Center,AZ,Payson,85541,Hospital,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 01: Phoenix Sky Harbor Airport,AZ,Phoenix,85034,Airport,1,,Y,
RW,AZ001,Air Evac Services (Phoenix),AE 12: Phoenix Deer Valley Airport,AZ,Phoenix,85027,Airport,1,,Y,
RW,AZ001,Air Evac Services (Phoenix),AE 21: Safford Regional Airport,AZ,Safford,85546,Airport,1,,Y,
RW,AZ001,Air Evac Services (Phoenix),AE 08: Banner Ironwood Medical Center,AZ,San Tan Valley,85140,Hospital,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 32: Show Low Summit Regional Hospital,AZ,Show Low,85901,Hospital,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 24: Sierra Vista Hospital,AZ,Sierra Vista,85635,Hospital,1,,,
RW,AZ001,Air Evac Services (Phoenix),AE 22: Sierra Vista Airport,AZ,Sierra Vista,85635,Airport,1,,Y,
RW,AZ001,Air Evac Services (Phoenix),AE 17: Wickenburg Hospital,AZ,Wickenburg,85390,Hospital,1,,,
RW,CA025,Air George+,Valley Children’s Hospital,CA,Madera,93638,Hospital,1,,,
RW,ID002,Air Idaho Rescue / Air Methods Idaho,Driggs-Reed Memorial Airport,ID,Driggs,83422,Airport,1,,Y,
RW,ID002,Air Idaho Rescue / Air Methods Idaho,ID2- Idaho Falls Regional Airport,ID,Idaho Falls,83402,Airport,,1,Y,
RW,ID002,Air Idaho Rescue / Air Methods Idaho,Lemhi County Airport,ID,Salmon,83467,Airport,1,,Y,
RW,ID002,Air Idaho Rescue / Air Methods Idaho,Allen H. Tigert Airport,ID,Soda Springs,83276,Airport,1,,N,
RW,ID002,Air Idaho Rescue / Air Methods Idaho,ID3 – West Yellowstone Airport,MT,West Yellowstone,59758,Airport,1,,Y,
RW,NE002,Air Link (Nebraska),Regional West Medical Center,NE,Scottsbluff,69361,Hospital,1,,,
RW,NE002,Air Link (Nebraska),Western Nebraska Regional Airport,NE,Scottsbluff,69361,Airport,,1,Y,
RW,NC008,Air Link (North Carolina),AirLink 3 - (Novant Health Brunswick Medical Center),NC,Blovia,28422,Hospital,1,,,
RW,NC008,Air Link (North Carolina),AirLink 1 - (Albert J. Ellis Airport),NC,Richlands,28574,Airport,2#,,N,
RW,NC008,Air Link (North Carolina),AirLink 2 - (Columbus Regional Medical Center),NC,Whiteville,28472,Hospital,1,,,
RW,KY003,Air Methods (Kentucky),KY07: Harrison County Hospital,IN,Corydon,47112,Hospital,1,,,
RW,KY003,Air Methods (Kentucky),KY101: Jeffersonville Airport,IN,Sellersburg,47172,Airport,1,,Y,
RW,KY003,Air Methods (Kentucky),KY11- Bedford Base,KY,Bedford,40006,Helipad,1,,,
RW,KY003,Air Methods (Kentucky),KY09-Big Sandy Airport (SHARED),KY,Debord,41214,Airport,1#,,Y,
RW,KY003,Air Methods (Kentucky),KY06-Addington Field Airport,KY,Elizabethtown,42701,Airport,1,,Y,
RW,KY003,Air Methods (Kentucky),KY08-Glasgow Airport [Moore Field],KY,Glasgow,42141,Airport,1,,Y,
RW,KY003,Air Methods (Kentucky),KY02-Mt. Sterling,KY,Mt. Sterling,40353,Helipad,2*,,,
RW,KY003,Air Methods (Kentucky),KY03-Somerset Base,KY,Somerset,42503,Helipad,1,,,
RW,IL008,Air Methods (Lifestar Chicago),Joliet Base,IL,Joliet,60431,Helipad,1,,,
RW,MD002,Air Methods (Maryland),Hagerstown Airport,MD,Hagerstown,21742,Airport,1,,Y,
RW,MO010,Air Methods (MEDFLIGHT),MedFlight Parsons,KS,Parsons,67357,Hospital,1,,,
RW,MO010,Air Methods (MEDFLIGHT),MedFlight Joplin,MO,Joplin,64804,Hospital,1,,,
RW,MO010,Air Methods (MEDFLIGHT),Nevada Municipal Airport,MO,Nevada,64772,Airport,1,,Y,
RW,OH007,Air Methods (University Hospital),Medina Municipal Airport,OH,Medina,44256,Airport,1,,Y,
RW,OH007,Air Methods (University Hospital),Geauga County Airport,OH,Middlefield,44062,Airport,1,,Y,
RW,TX002,Air One,"Air 1 West, East Texas Medical Center",TX,Athens,75751,Hospital,1,,,
RW,TX002,Air One,ETMC Pittsburg,TX,Pittsburg,75686,Hospital,1,,,
RW,TX002,Air One,Air 1 Central East Texas Med Cntr,TX,Tyler,75711,Hospital,2*,,,Y
RW,SC006,Air Reach,Marion County Airport,SC,Mullins,29574,Airport,1,,Y,
RW,ID006,Air St. Luke's,Boise Airport / Gowen Field,ID,Boise,83705,Airport,1,2,Y,
RW,ID006,Air St. Luke's,St. Luke's Meridian,ID,Meridian,83642,Hospital,1,,,
RW,ID006,Air St. Luke's,Twin Falls Base,ID,Twin Falls,83301,Helipad,1,,,
FW,FL031,"Air Trek Air Ambulance, Inc.",Charlotte County Airport,FL,Punta Gorda,33950,Airport,,5,N,
FW,AR004,Airborne Air Ambulance,Hot Springs Memorial Airport,AR,Hot Springs,71913,Airport,,4,Y,
RW,IA001,AirCare (Iowa),Mercy Medical Center,IA,Dubuque,52001,Hospital,1,,,
RW,IA001,AirCare (Iowa),Iowa City Municipal Airport,IA,Iowa City,52246,Airport,,1,Y,
RW,IA001,AirCare (Iowa),University of Iowa Hospitals and Clinics,IA,Iowa City,52242,Hospital,1,,,Y
RW,IA001,AirCare (Iowa),MercyOne Walterloo Medical Center,IA,Waterloo,50702,Hospital,2*,,,
RW,SC008,AirCare (SC),Sumter County Airport,SC,Sumter,29153,Airport,1,,Y,
RW,NC001,AirCare (Winston- Salem),Elkin Municipal Airport,NC,Elkin,28621,Airport,1,,Y,
RW,NC001,AirCare (Winston- Salem),Davidson County Airport,NC,Lexington,27292,Airport,2#,,Y,
RW,NC001,AirCare (Winston-Salem),Blue Ridge Regional Airport,VA,Martinsville,24112,Airport,1,,Y,
FW,CA029,AIRescue International,Van Nuys Airport,CA,Van Nuys,91406,Airport,,8,N,
RW,IL004,AirLife (Illinois),Carle Richland Memorial Hospital,IL,Olney,62450,Hospital,1,,,
RW,IL004,AirLife (Illinois),Carle Foundation Hospital,IL,Urbana,61801,Hospital,1,,,Y
RW,CO001,AirLife Denver,Centennial Airport,CO,Englewood,80112,Airport,,2,N,
RW,CO001,AirLife Denver,Frederick-Firestone Fire Station 2,CO,Frederick,80516,Helipad,1,,,
RW,CO001,AirLife Denver,Melissa Memorial Hosp Heliport,CO,Holyoke,80734,Hospital,1,,,
RW,CO001,AirLife Denver,Lincoln Community Hospital,CO,Hugo,80821,Hospital,1,,,
